Uxbridge,51.5404,-0.4778,]
Mansfield,53.1444,-1.1964,]
Rhondda,51.6159,-3.4175,]
Tynemouth,55.017,-1.423,]
Cannock,52.691,-2.027,]
Walsall,52.58,-1.98,]
Washington,54.9,-1.52,]
Grays,51.475,0.33,]
Godalming,51.1855,-0.6155,]
Walton upon Thames,51.3868,-0.4133,]
Finchley,51.599,-0.187,]
Thornton Heath,51.4002,-0.1086,]
Torquay,50.47,-3.53,]
Farnborough,51.29,-0.75,]
Kensington,51.5,-0.19,]
Boston,52.974,-0.0214,]
Paignton,50.4353,-3.5625,]
Waterlooville,50.88,-1.03,]
Guiseley,53.875,-1.706,]
Bognor Regis,50.7824,-0.6764,]
Hornchurch,51.5565,0.2128,]
Maidenhead,51.5217,-0.7177,]
Mitcham,51.4009,-0.1517,]
Feltham,51.4496,-0.4089,]
Stourbridge,52.4575,-2.1479,]
Rochester,51.375,0.5,]
Dewsbury,53.691,-1.633,]
Woking,51.305,-0.539,]
Sittingbourne,51.34,0.74,]
Acton,51.5135,-0.2707,]
Twickenham,51.449,-0.337,]
Runcorn,53.3417,-2.7313,]
Wrecsam,53.046,-2.993,]
Widnes,53.362,-2.7341,]
Margate,51.385,1.3838,]
Ellesmere Port,53.279,-2.897,]
Bangor,54.66,-5.67,]
Taunton,51.019,-3.1,]
Wallasey,53.4158,-3.0233,]
Loughborough,52.7725,-1.2078,]
Barking,51.54,0.08,]
Edgware,51.6185,-0.2729,]
Littlehampton,50.8094,-0.5409,]
Ruislip,51.576,-0.433,]
Halesowen,52.4502,-2.0509,]
Streatham,51.4279,-0.1235,]
Royal Tunbridge Wells,51.132,0.263,]
Bebington,53.35,-3.003,]
Aldershot,51.2483,-0.7614,]
Macclesfield,53.25,-2.13,]
Wellingborough,52.3028,-0.6944,]
Kettering,52.3931,-0.7229,]
Braintree,51.878,0.55,]
Royal Leamington Spa,52.2919,-1.5358,]
Kidderminster,52.3885,-2.249,]
Barrow in Furness,54.1108,-3.2261,]
Corby,52.4877,-0.7013,]
Canterbury,51.28,1.08,]
Christchurch,50.73,-1.78,]
Keighley,53.867,-1.911,]
Hamilton,55.777,-4.039,]
Hereford,52.056,-2.716,]
Dunfermline,56.0719,-3.4393,]
Brentwood,51.62,0.305,]
Altrincham,53.3838,-2.3547,]
Lancaster,54.0489,-2.8014,]
Crosby,53.4872,-3.0343,]
Barri,51.405,-3.27,]
Willenhall,52.5798,-2.0605,]
Bootle,53.4457,-2.9891,]
Stratford,51.5423,-0.0026,]
Folkestone,51.0792,1.1794,]
Dartford,51.4444,0.2172,]
Weymouth,50.6097,-2.4547,]
Horsham,51.062,-0.325,]
Cumbernauld,55.945,-3.994,]
Esher,51.3691,-0.365,]
Andover,51.208,-1.48,]
Livingston,55.8834,-3.5157,]
Neath,51.66,-3.81,]
Clacton-on-Sea,51.7918,1.1457,]
Northwich,53.259,-2.518,]
Rowley Regis,52.488,-2.05,]
Scarborough,54.2825,-0.4,]
Leith,55.98,-3.17,]
Yeovil,50.9452,-2.637,]
Pen-y-Bont ar Ogwr,51.507,-3.578,]
Eltham,51.451,0.052,]
Hampstead,51.5541,-0.1744,]
Cwmbran,51.653,-3.021,]
Sutton in Ashfield,53.125,-1.261,]
Welwyn Garden City,51.8062,-0.1932,]
Morden,51.4015,-0.1949,]
Smethwick,52.4931,-1.9686,]
Kirkcaldy,56.1107,-3.1674,]
Durham,54.7761,-1.5733,]
Perth,56.3958,-3.4333,]
Barnet,51.6444,-0.1997,]
Stretford,53.4466,-2.3086,]
Banbury,52.061,-1.336,]
Beckenham,51.408,-0.022,]
Greenford,51.5299,-0.3488,]
Ayr,55.458,-4.629,]
Wokingham,51.41,-0.84,]
Kilmarnock,55.6111,-4.4957,]
Cheshunt,51.702,-0.035,]
Havant,50.8517,-0.9842,]
Kirkby,53.48,-2.89,]
Salisbury,51.07,-1.79,]
Erith,51.48,0.1778,]
Hinckley,52.5413,-1.3725,]
Ashton,53.4897,-2.0952,]
Surbiton,51.394,-0.307,]
Castleford,53.716,-1.356,]
Catford,51.4452,-0.0207,]
Worksop,53.3042,-1.1244,]
Morley,53.7492,-1.6023,]
Coatbridge,55.8625,-4.0266,]
Wallsend,54.991,-1.534,]
Merthyr Tudful,51.743,-3.378,]
Sidcup,51.4263,0.1024,]
Kingston upon Thames,51.4103,-0.2995,]
Middleton,53.555,-2.187,]
Fleet,51.2834,-0.8456,]
King’s Lynn,52.754,0.398,]
Hoddesdon,51.759,-0.015,]
Fareham,50.85,-1.18,]
Greenock,55.95,-4.765,]
Urmston,53.4487,-2.3747,]
Sutton,51.3656,-0.1963,]
Caerphilly,51.578,-3.218,]
Bridgwater,51.128,-2.993,]
Leigh,53.4975,-2.515,]
Hatfield,51.7636,-0.2258,]
Newbury,51.401,-1.323,]
Welling,51.4594,0.1097,]
Kingswood,51.46,-2.505,]
Dunstable,51.886,-0.521,]
Bury Saint Edmunds,52.2474,0.7183,]
Ramsgate,51.336,1.416,]
Inverness,57.4778,-4.2247,]
Strood,51.393,0.478,]
Cleethorpes,53.5533,-0.0215,]
Skelmersdale,53.55,-2.776,]
Tipton,52.5259,-2.0751,]
Eccles,53.4824,-2.339,]
Pinner,51.5932,-0.3894,]
Great Yarmouth,52.606,1.729,]
Tonbridge,51.1987,0.2764,]
Ilkeston,52.9711,-1.3092,]
Leyland,53.6903,-2.6992,]
Glenrothes,56.198,-3.178,]
Chorley,53.653,-2.632,]
Herne Bay,51.37,1.13,]
Bishops Stortford,51.872,0.1725,]
Arnold,53.005,-1.127,]
Long Eaton,52.898,-1.271,]
Coalville,52.724,-1.369,]
Stirling,56.1166,-3.9369,]
Bletchley,51.994,-0.732,]
Leighton Buzzard,51.9165,-0.6617,]
Airdrie,55.86,-3.98,]
Blyth,55.126,-1.514,]
Port Talbot,51.5906,-3.7986,]
Laindon,51.574,0.4181,]
Redcar,54.618,-1.069,]
Llanelli,51.684,-4.163,]
Beeston,52.927,-1.215,]
Small Heath,52.4629,-1.8542,]
Camberley,51.335,-0.742,]
Houghton le Spring,54.841,-1.468,]
Whitley Bay,55.0456,-1.4443,]
Denton,53.4554,-2.1122,]
Chippenham,51.459,-2.116,]
West Bridgford,52.932,-1.127,]
Borehamwood,51.6578,-0.2722,]
Hyde,53.4474,-2.082,]
Hendon,51.5837,-0.2252,]
Falkirk,56.0011,-3.7835,]
Walkden,53.5239,-2.3991,]
Kenton,51.5878,-0.3086,]
Woodley,51.453,-0.902,]
Accrington,53.7534,-2.3638,]
Bridlington,54.0819,-0.1923,]
Winchester,51.0632,-1.308,]
Billingham,54.61,-1.27,]
Winsford,53.194,-2.52,]
Ewell,51.35,-0.249,]
Morecambe,54.073,-2.87,]
Grantham,52.918,-0.638,]
Swadlincote,52.774,-1.557,]
Exmouth,50.62,-3.413,]
North Shields,55.0097,-1.4448,]
Hitchin,51.947,-0.283,]
Spalding,52.7858,-0.1529,]
Rainham,51.36,0.61,]
Letchworth,51.978,-0.23,]
Lichfield,52.682,-1.829,]
Irvine,55.6201,-4.6614,]
Wickford,51.6114,0.5207,]
Loughton,51.6494,0.0735,]
Glossop,53.443,-1.949,]
Huyton,53.4111,-2.8403,]
Abingdon,51.6717,-1.2783,]
Trowbridge,51.32,-2.208,]
Warwick,52.28,-1.59,]
Motherwell,55.7839,-3.9852,]
Dumfries,55.07,-3.603,]
Brighouse,53.707,-1.794,]
Wigston Magna,52.5812,-1.093,]
Windsor,51.4791,-0.6095,]
Didcot,51.606,-1.241,]
Earley,51.433,-0.933,]
Bexleyheath,51.459,0.138,]
Rushden,52.288,-0.601,]
Ecclesfield,53.4429,-1.4698,]
Wisbech,52.664,0.16,]
Darwen,53.698,-2.461,]
Prestwich,53.5333,-2.2833,]
Epsom,51.3331,-0.2686,]
Pontypridd,51.602,-3.342,]
Rutherglen,55.828,-4.214,]
Saint Neots,52.228,-0.27,]
Bedworth,52.475,-1.477,]
Dover,51.1295,1.3089,]
Chichester,50.8365,-0.7792,]
Deal,51.2226,1.4006,]
Pontefract,53.691,-1.312,]
Bicester,51.9,-1.15,]
Beverley,53.845,-0.427,]
Burgess Hill,50.9535,-0.1262,]
Stratford-upon-Avon,52.1928,-1.7064,]
Newark upon Trent,53.0772,-0.8089,]
Northolt,51.5467,-0.37,]
Wishaw,55.7742,-3.9183,]
Harpenden,51.8175,-0.3524,]
Whitstable,51.361,1.026,]
Congleton,53.162,-2.217,]
Radcliffe,53.5615,-2.3268,]
Carshalton,51.3652,-0.1676,]
Plympton,50.386,-4.051,]
Bulwell,53.001,-1.197,]
Newtownards,54.591,-5.68,]
Kendal,54.326,-2.745,]
Sevenoaks,51.2781,0.1874,]
Northfleet,51.44,0.34,]
Cramlington,55.082,-1.585,]
Bromsgrove,52.3353,-2.0579,]
Nelson,53.8346,-2.218,]
Cambuslang,55.819,-4.1671,]
Pont-y-pŵl,51.703,-3.041,]
Hanwell,51.509,-0.338,]
Stanford le Hope,51.514,0.4244,]
Ballymena,54.86,-6.28,]
Frome,51.2279,-2.3215,]
Wood Green,51.5981,-0.1149,]
Bushey,51.6429,-0.3604,]
Heywood,53.59,-2.219,]
Carrickfergus,54.7136,-5.8075,]
Bearsden,55.9195,-4.3337,]
Reddish,53.4383,-2.1613,]
Billericay,51.628,0.4184,]
Newry,54.176,-6.349,]
Darlaston,52.5708,-2.0457,]
Ashington,55.181,-1.568,]
Jarrow,54.9814,-1.49,]
Witney,51.78,-1.49,]
Shotley Bridge,54.87,-1.86,]
Ashford,51.434,-0.464,]
Longton,52.9877,-2.1327,]
Melton Mowbray,52.7661,-0.886,]
Haverhill,52.08,0.44,]
Thetford,52.41,0.74,]
Aldridge,52.606,-1.9179,]
Seaford,50.77,0.1,]
Farnworth,53.5452,-2.3999,]
Highbury,51.552,-0.097,]
Newton Mearns,55.7716,-4.3347,]
Cheadle Hulme,53.3761,-2.1897,]
Newton Aycliffe,54.62,-1.58,]
East Grinstead,51.1286,-0.0144,]
Ashton in Makerfield,53.487,-2.641,]
Clydebank,55.8997,-4.4006,]
Wilmslow,53.325,-2.239,]
Burntwood,52.6831,-1.92,]
Fleetwood,53.922,-3.012,]
Bournville,52.4299,-1.9355,]
Shenley Brook End,52.009,-0.789,]
Consett,54.85,-1.83,]
New Milton,50.76,-1.65,]
Coulsdon,51.3211,-0.1386,]
Farnham,51.215,-0.799,]
Bilston,52.566,-2.0728,]
Wellington,52.7001,-2.5157,]
Witham,51.7978,0.6373,]
Oldbury,52.505,-2.0159,]
Thatcham,51.405,-1.264,]
Bishop Auckland,54.663,-1.676,]
Longbridge,52.395,-1.979,]
Bloxwich,52.614,-2.004,]
Upminster,51.5557,0.2512,]
Kirkby in Ashfield,53.099,-1.245,]
Workington,54.6365,-3.5549,]
Kingswinford,52.4981,-2.1657,]
Rhyl,53.321,-3.48,]
Whitehaven,54.548,-3.5855,]
Droitwich,52.267,-2.153,]
Daventry,52.2578,-1.1628,]
Hindley,53.5355,-2.5658,]
Portishead,51.484,-2.7626,]
Pitsea,51.569,0.504,]
Westhoughton,53.549,-2.529,]
Broadstairs,51.3589,1.4394,]
Thundersley,51.57,0.59,]
Gorleston-on-Sea,52.5757,1.7235,]
Penistone,53.525,-1.629,]
Thornaby on Tees,54.5585,-1.3025,]
Hertford,51.7966,-0.0774,]
Newton in Makerfield,53.45,-2.633,]
Felixstowe,51.9639,1.3515,]
Rugeley,52.7599,-1.9388,]
Kings Norton,52.4072,-1.9272,]
Alfreton,53.097,-1.38,]
Chester-le-Street,54.8594,-1.5699,]
Farnley,53.7876,-1.6159,]
Great Sankey,53.3918,-2.6383,]
Golborne,53.4758,-2.5943,]
Plymstock,50.3569,-4.09,]
Ryde,50.7271,-1.1618,]
Ormskirk,53.5665,-2.8869,]
Barnstaple,51.08,-4.06,]
Rickmansworth,51.6383,-0.4659,]
Littleover,52.906,-1.505,]
Newport,50.701,-1.2883,]
Arbroath,56.561,-2.586,]
Caversham,51.467,-0.973,]
Oadby,52.5987,-1.0763,]
Kidsgrove,53.0874,-2.2478,]
East Retford,53.3228,-0.9431,]
Huntingdon,52.3364,-0.1717,]
Stalybridge,53.4834,-2.04,]
Stanmore,51.618,-0.314,]
Droylsden,53.4828,-2.1582,]
Marple,53.397,-2.061,]
Perry Barr,52.5249,-1.9042,]
Gosforth,55.007,-1.623,]
Newton Abbot,50.529,-3.61,]
Bishopbriggs,55.9046,-4.225,]
Whitefield,53.5521,-2.2992,]
Elgin,57.6486,-3.3153,]
Penwortham,53.74,-2.72,]
Harborne,52.46,-1.95,]
Rawtenstall,53.699,-2.291,]
Clifton,52.904,-1.177,]
Swinton,53.5122,-2.3412,]
Bathgate,55.9024,-3.6431,]
Market Harborough,52.4775,-0.9206,]
Waltham Abbey,51.6846,0.0004,]
Gainsborough,53.4016,-0.7732,]
Erdington,52.5236,-1.8378,]
Haywards Heath,51.0048,-0.0979,]
Wednesfield,52.5998,-2.0827,]
Farsley,53.8116,-1.6718,]
Kenilworth,52.341,-1.566,]
Potters Bar,51.698,-0.183,]
Foleshill,52.4255,-1.502,]
Formby,53.5586,-3.0666,]
Pudsey,53.797,-1.663,]
Evesham,52.092,-1.947,]
March,52.551,0.088,]
Tiverton,50.903,-3.488,]
Shoeburyness,51.5316,0.7978,]
Litherland,53.4727,-2.999,]
Yeadon,53.869,-1.688,]
Acomb,53.955,-1.126,]
Reigate,51.237,-0.206,]
Penarth,51.43,-3.17,]
Horley,51.174,-0.172,]
Newquay,50.412,-5.0757,]
Camborne,50.213,-5.3,]
Northwood,51.601,-0.4176,]
Atherton,53.523,-2.495,]
Clevedon,51.438,-2.854,]
Sandbach,53.146,-2.367,]
Renfrew,55.878,-4.389,]
Belper,53.029,-1.475,]
