name,number,address,website
One Plus Chinese Restaurant,0161 273 2888,"42 Charles St, Manchester M1 7DB, UK",http://www.oneplusrestaurant.co.uk/booking/
Don Giovanni - Italian Restaurant Manchester,0161 228 2482,"1, Peter House, Oxford St, Manchester M1 5AN, UK",https://dongiovanni.uk.com/
Miller & Carter Manchester,0161 839 2846,"53 King St, Manchester M2 4LQ, UK",https://www.millerandcarter.co.uk/restaurants/north-west/millerandcartermanchester?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage
Sam's Chop House,0161 834 3210,"Back Pool Fold, Manchester M2 1HN, UK",http://www.samschophouse.com/
Wah Ji Wah,0161 819 5460,"37 King St W, Manchester M3 2PW, UK",https://wahjiwah.co.uk/
MR THOMAS'S CHOP HOUSE,0161 832 2245,"52 Cross St, Manchester M2 7AR, UK",http://www.tomschophouse.com/
Dukes 92,0161 839 8642,"18 - 25 Castle St, Manchester M3 4LZ, UK",http://www.dukes92.com/
ETCI MEHMET | Turkish Steak & Burger House - Manchester,0161 228 3158,"Unit 4, The Quadrangle, Chester St, Manchester M1 5QS, UK",https://www.etcimehmet.co.uk/book.html
La Bandera,0161 833 9019,"2 Ridgefield, Manchester M2 6EQ, UK",https://labandera.co.uk/
Cicchetti by San Carlo - Manchester,0161 839 2233,"Ground Floor, House of Fraser, King St W, Manchester M3 2GQ, UK",https://sancarlo.co.uk/restaurants/cicchetti-manchester/?utm_source=google&utm_medium=organic_gbp&utm_campaign=manchester
Chiquito,0161 830 1560,"The Printworks, Manchester M4 2BS, UK",https://www.chiquito.co.uk/restaurants/manchester?utm_source=google&utm_medium=organic&utm_campaign=google_lpm_chiquito_manchester
Ducie Street Warehouse,0161 503 9460,"Ducie St, Manchester M1 2TP, UK",https://duciestreet.com/?utm_source=GBP&utm_medium=organic&utm_campaign=office
Las Iguanas - Manchester - Deansgate,0161 549 2175,"84 Deansgate, Manchester M3 2ER, UK",https://www.iguanas.co.uk/restaurants/manchester-deansgate?utm_source=google&utm_medium=organic&utm_campaign=google_lpm_lasiguanas_manchester_deansgate
Habesha Restaurant,0161 228 7396,"29-31 Sackville St, Manchester M1 3LZ, UK",http://habesharestaurant.co.uk/
Tampopo Corn Exchange,0161 839 6484,"Corn Exchange, Exchange Sq, Manchester M4 3TR, UK",https://tampopo.co.uk/
wagamama manchester st peters square,0161 302 4630,"2 St Peter's Sq, Manchester M2 3LQ, UK",https://www.wagamama.com/restaurants/manchester/manchester-st-peters-square
